Identifier,Transcription,Characters,Sixtuple,Fanqie
850,'ang,鴦佒咉𧲱㹧眏姎肮,宕開一平唐影,烏郎
851,xang,炕㰠忼䐠,宕開一平唐曉,呼郎
852,hang,航筕桁行迒𨁈頏𦐄魧胻邟杭沆蚢肮苀抗吭,宕開一平唐匣,胡郎
853,mang,茫吂䀮汒恾忙朚邙芒𥐞杗蘉𡩩𨛌,宕開一平唐明,莫郎
854,tsang,臧匨䍧戕贓样髒,宕開一平唐精,則郎
855,nang,囊蠰,宕開一平唐泥,奴當
856,bang,傍彷膀髈䠙趽房旁篣𨜷螃䅭騯,宕開一平唐並,步光
857,ngang,卬䭹枊昂䒢㭿䩕,宕開一平唐疑,五岡
858,dzang,藏,宕開一平唐從,昨郎
859,khwang,䯑,宕合一平唐溪,苦光
860,pang,幫縍鞤𨢐鞤,宕開一平唐幫,博旁
861,kaeng,庚鶊更䢚秔稉粳賡羹𩱧埂浭,梗開二平庚見,古行
862,khaeng,阬坑硎砊𥉸劥,梗開二平庚溪,客庚
863,maeng,盲蝱虻鄳𥋝莔𨞚䥰𥭮,梗開二平庚明,武庚
864,hwaeng,橫黌蝗鐄瑝喤鍠䬝㶇䄓潢𤮏𪏓𢘌韹彋,梗合二平庚匣,戸盲
865,paeng,閍祊𥛱騯嗙㔙,梗開二平庚幫,甫盲
866,xwaeng,諻䎕謍嚝喤,梗合二平庚曉,虎橫
867,kwaeng,觵觥侊𩃙䍔𣘯,梗合二平庚見,古橫
868,baeng,彭澎膨蟚䰃棚榜䄘搒蒡篣𩡕騯憉𣂆輣𨍩蟛,梗開二平庚並,薄庚
869,xaeng,脝悙亨哼,梗開二平庚曉,許庚
870,trhaeng,瞠橕樘䟓竀,梗開二平庚徹,丑庚
871,tsrhaeng,鎗鐺槍琤,梗開二平庚初,楚庚
872,dzraeng,傖䚘𩫿鬇崢,梗開二平庚崇,助庚
873,'jaeng,英霙鉠韺渶鶧瑛㿮媖楧,梗開三平庚影,於驚
874,phjaeng,磅恲亨烹澎,梗開三平庚滂,撫庚
875,bjaeng,平評苹枰泙坪胓蚲,梗開三平庚並,符兵
876,kjaeng,驚京荆荊麠麖鶁蟼,梗開三平庚見,舉卿
877,mjaeng,明盟𥁰鳴䳟,梗開三平庚明,武兵
878,draeng,棖盯澄掁䟫挰憕,梗開二平庚澄,直庚
879,traeng,趟𩘽,梗開二平庚知,竹盲
880,hjwaeng,榮禜蠑瑩揘嶸,梗合三平庚云,永兵
881,pjaeng,兵,梗開三平庚幫,甫明
882,xjwaeng,兄,梗合三平庚曉,許榮
883,khjaeng,卿,梗開三平庚溪,去京
884,sraeng,生笙牲猩狌鉎甥䴤鼪珄,梗開二平庚生,所庚
885,gjaeng,擎勍黥䵞剠䲔鯨檠樈葝䫆,梗開三平庚群,渠京
886,ngjaeng,迎,梗開三平庚疑,語京
887,haeng,行衡䯒胻洐筕珩桁蘅𦣍,梗開二平庚匣,戸庚
888,nraeng,鬤㲰𠽽獰𥣗𧂘𧅍,梗開二平庚娘,乃庚
889,keang,耕,梗開二平耕見,古莖
890,kheang,鏗牼殸硜羥,梗開二平耕溪,口莖
891,meang,甍𣞑䉚萌氓甿嫇蕄𥋝𧂛𥌯,梗開二平耕明,莫耕
892,peang,浜捠,梗開二平耕幫,布耕
893,hweang,宏紘紭閎嶸嵤𧮯耾翃浤竑宖鈜吰𥐪彋,梗合二平耕匣,戸萌
894,heang,莖䪫牼,梗開二平耕匣,戸耕
895,treang,朾丁玎𠑅𧯫叮䆸,梗開二平耕知,中莖
896,'eang,甖罌罃鶯嚶櫻嫈鸚譻鸎褮𠠜莖,梗開二平耕影,烏莖
897,dzreang,崢𦱊鬇埩鏳崝,梗開二平耕崇,士莖
898,tsrheang,琤錚凈棦噌,梗開二平耕初,楚耕
899,nreang,儜薴鬡𧭈鑏䭢嬣,梗開二平耕娘,女耕
900,pheang,怦姘閛𤘾伻弸䍬㛁匉抨砰,梗開二平耕滂,普耕
901,xweang,轟輷䎕揈訇鍧渹𦑟𥕗𢝁,梗合二平耕曉,呼宏
902,peang,繃絣𢆸拼䑫,梗開二平耕幫,北萌
903,dreang,橙揨𢾊𢿦湞朾虰憕瞪䆵䁎䆑,梗開二平耕澄,宅耕
904,'weang,泓謍宖𨳮,梗合二平耕影,烏宏
905,beang,輣棚弸㥊庄,梗開二平耕並,薄萌
906,ngeang,娙俓,梗開二平耕疑,五莖
907,tsreang,爭箏埩綪䋫猙䱢,梗開二平耕莊,側莖
908,tshjeng,清圊,梗開三平清清,七情
909,dzjeng,情晴請夝䝼,梗開三平清從,疾盈
910,tsjeng,精氏菁鶄蜻晶鼱婧睛𣻒旌旍箐𩓨聙,梗開三平清精,子盈
911,yeng,盈嬴㜲瀛籝楹贏𤟣䕦𨜏𦝚攍,梗開三平清以,以成
912,yweng,營鎣塋䁝濴謍,梗合三平清以,余傾
913,'jieng,嬰瓔纓攖賏𨟙蘡,梗開三平清影,於盈
914,trjeng,貞楨禎𨜓湞𨺟,梗開三平清知,陟盈
915,trhjeng,偵檉赬䞓䟓竀蟶虰,梗開三平清徹,丑貞
916,dzyeng,成𢦩城誠宬郕筬盛珹䫆,梗開三平清常,是征
917,drjeng,呈程酲𨜓珵䇸裎,梗開三平清澄,直貞
918,syeng,聲,梗開三平清書,書盈
919,tsyeng,征𨒌延鯖𨢹𦙫鉦怔正鴊䋊眐𧘿佂,梗開三平清章,諸盈
920,khjieng,輕𨆪鑋,梗開三平清溪,去盈
921,mjieng,名洺,梗開三平清明,武并
922,ljeng,跉令,梗開三平清來,呂貞
923,pjieng,并栟屏箳,梗開三平清幫,府盈
924,khjwieng,傾頃,梗合三平清溪,去營
925,zjeng,𩛿餳,梗開三平清邪,徐盈
926,'jwieng,縈褮嫈䪯𢄋瀠,梗合三平清影,於營
927,gjwieng,瓊璚煢焭睘惸𢶇藑嬛𡞦赹憌𢗋𦽓𦾵𨍶㒌,梗合三平清群,渠營
928,sjweng,騂𤙡垶觪,梗合三平清心,息營
929,gjieng,頸𩷏葝𦳲,梗開三平清群,巨成
930,xjweng,𧵣,梗合三平清曉,火營
931,tsheng,青靑鶄鯖蜻靘,梗開四平青清,倉經
932,keng,經涇頸巠,梗開四平青見,古靈
933,heng,㓝刑形邢𤬐䣆桯鉶型陘侀硎娙鈃㼛𤭓鋞,梗開四平青匣,戸經
934,deng,停庭鼮莛葶筳亭聤霆渟𩹇綎娗㼗𧖧挺楟蜓廷㹶𧓴婷,梗開四平青定,特丁
935,teng,丁釘玎䦺靪虰仃叮疔,梗開四平青端,當經
936,xeng,馨蛵𠷓,梗開四平青曉,呼刑
937,seng,星曐腥胜鮏鯹𥠀醒鉎篂猩惺,梗開四平青心,桑經
938,pheng,竮俜甹𢖊艵頩姘覮拼,梗開四平青滂,普丁
939,leng,靈霛𩄀𩆜舲齡麢𦏰囹鴒䉁蛉鈴霝醽苓櫺柃𩆚伶泠瓴𧕅拎刢𧆺𤣘𤫲玲𦉢𩖊㾉聆竛𠄖蘦軨䡼笭零孁令𪕌灵𩟃𩵀龗翎閝鹷䴇昤駖𧖜𩆮蕶酃詅彾䯍呤跉狑𤣤爧冷怜𠱠𦫊𢺰澪鏻𥤞秢䕘獜岭魿𣬹𩚹紷䉹砱阾羚姈㸳欞,梗開四平青來,郎丁
940,neng,寧寍鸋䆨𣍆𨛲𧕝嚀聹,梗開四平青泥,奴丁
941,theng,汀訂桯綎聽廳町艼𦉬䩠鞓䋼𦀚庁,梗開四平青透,他丁
942,meng,冥榠銘鄍溟䫤螟𧱴猽蓂瞑𥹆嫇覭暝,梗開四平青明,莫經
943,beng,瓶缾蛢䶄屏荓䈂軿萍蓱竮郱畊洴箳,梗開四平青並,薄經
944,hweng,熒褮螢滎䁝𧵣,梗合四平青匣,戸扃
945,kweng,扃駉駫坰冋𪕍絅𣕄,梗合四平青見,古螢
946,tsying,蒸䒱烝𦚦䕄篜脀,曾開三平蒸章,煑仍
947,dzying,承丞𨋬,曾開三平蒸常,署陵
948,dring,澄澂瞪憕懲,曾開三平蒸澄,直陵
949,ling,陵淩夌綾凌𠗲蔆菱䔖㥄鯪崚㱥𡕮𩜁掕祾𣣋,曾開三平蒸來,力膺
950,'ing,膺應鷹𧕄,曾開三平蒸影,於陵
951,bing,凭馮憑淜㵗,曾開三平蒸並,扶冰
952,ping,冫仌冰掤,曾開三平蒸幫,筆陵
953,ying,蠅,曾開三平蒸以,余陵
954,zying,繩譝憴鱦乗乘椉𠅞澠溗塍塖騬,曾開三平蒸船,食陵
955,sying,升昇陞勝抍,曾開三平蒸書,識蒸
956,nying,仍艿䚮㭁辸礽扔,曾開三平蒸日,如乗
957,king,兢矜,曾開三平蒸見,居陵
958,tring,徵癥症𨟃𣃘,曾開三平蒸知,陟陵
959,dzing,繒鄫驓橧竲嶒,曾開三平蒸從,疾陵
960,nging,凝,曾開三平蒸疑,魚陵
961,xing,興𨞾,曾開三平蒸曉,虚陵
962,tsyhing,稱爯偁,曾開三平蒸昌,處陵
963,ging,殑䔷,曾開三平蒸群,其矜
964,sring,㱡,曾開三平蒸生,山矜
965,khing,硱,曾開三平蒸溪,綺兢
966,trhing,僜庱睖,曾開三平蒸徹,丑升
967,dzring,磳,曾開三平蒸崇,仕兢
968,phing,砯,曾開三平蒸滂,披冰
969,tong,登璒燈簦㲪䔲㽅䳾,曾開一平登端,都滕
970,long,楞棱稜輘倰祾,曾開一平登來,魯登
971,song,僧鬙䒏,曾開一平登心,蘇增
972,pong,崩,曾開一平登幫,北滕
973,tsong,增憎磳曾矰罾熷䎖竲橧譄𦼏,曾開一平登精,作滕
974,mong,瞢蕄䒐𦱛,曾開一平登明,武登
975,dzong,層曾䁬,曾開一平登從,昨楞
976,bong,朋堋鵬棚倗鬅,曾開一平登並,步崩
977,hwong,弘鞃苰,曾合一平登匣,胡肱
978,kwong,肱𩉦,曾合一平登見,古弘
979,xwong,薨𠐿𩖉𩙛𤃫,曾合一平登曉,呼肱
980,nong,能,曾開一平登泥,奴登
981,dong,騰滕縢幐螣藤謄𧈜儯𤻴鰧𥉋,曾開一平登定,徒登
982,hong,恒𢛢峘,曾開一平登匣,胡登
983,kong,搄縆絙,曾開一平登見,古恒
984,thong,鼟膯𤃶𧰥,曾開一平登透,他登
985,phong,漰堋,曾開一平登滂,普朋
986,hjuw,尤𣏞腄疣肬𪐤沋郵訧,流開三平尤云,羽求
987,'juw,憂優瀀𢕶麀𪋎櫌鄾𢆶怮嚘耰獶𧀥纋㱊妋,流開三平尤影,於求
988,ljuw,留劉蒥勠摎鶹騮駵疁𥹷流㳅飂飀瘤榴瑬旒瑠𪕚𤠑䉧𥰣瀏䬟䱖鰡嵧𣠚鎦𦃓𢷶𨶪懰餾䖻裗𪆱𪎣硫遛䚧憀鏐鎏,流開三平尤來,力求
989,tshjuw,秋秌鞧緧𦃈鞦湫鶖鰍鰌楸萩𪓰𪓵䵸蟗䨂篍趥,流開三平尤清,七由
990,yuw,由猷猶悠油攸蕕浟𠧷𢋅冘邎輶蘨秞蚰蝣櫾楢𦳷斿游遊𨒰卣䚻鮋䱔抌揄舀偤䍃𤪎邮繇㳛㾞囮㘥庮甹𣔴𧡹𦵵鈾,流開三平尤以,以周
991,ngjuw,牛,流開三平尤疑,語求
992,tsjuw,遒鮂䎿蝤啾迺𩭓揂揫揪湫𣟼鬏,流開三平尤精,即由
993,dzjuw,酋㥢遒䎿崷鰌蝤煪𧤕𦵩,流開三平尤從,自秋
994,sjuw,脩修羞𩛢𩝧䡭樇饈,流開三平尤心,息流
995,trhjuw,抽𢭆㨨婤𥈌惆瘳妯,流開三平尤徹,丑鳩
996,khjuw,恘𠁫㲃惆,流開三平尤溪,去秋
997,tsyhuw,犫犨,流開三平尤昌,赤周
998,tsyuw,周州𥺝輖洲賙喌舟郮婤,流開三平尤章,職流
999,dzyuw,讎𣫐𣀓鮋醻酬詶雔魗𨞪,流開三平尤常,市流
1000,nyuw,柔鍒㽥騥蝚蹂葇鞣鰇瑈腬鶔揉䰆𨛶䐓,流開三平尤日,耳由
1001,syuw,收,流開三平尤書,式州
1002,khjuw,丘丠蓲蚯邱訄,流開三平尤溪,去鳩
1003,phjuw,䬌秠𡫺衃肧紑醅,流開三平尤滂,匹尤
1004,kjuw,鳩𦫶𠠳朻䡂㽱𨷺鬮丩龜勼,流開三平尤見,居求
1005,pjuw,不哹紑䍍鴀,流開三平尤幫,甫鳩
1006,srjuw,搜𢯱捜𩜯餿䬒颼𣸈溲䤹鎪廋蒐𦺋獀䐹𨜛鄋䗏螋䮟騪犙䤇醙𧽏,流開三平尤生,所鳩
1007,tsrhjuw,搊𢬆篘醔㮲𥻤謅,流開三平尤初,楚鳩
1008,tsrjuw,鄒鄹郰騶齱陬緅䑼𨃘菆棷箃𠿈黀,流開三平尤莊,側鳩
1009,dzrjuw,愁㵞,流開三平尤崇,士尤
1010,xjuw,休貅鵂鵂𩢮㾋庥脙𦜵髤髹䰍咻㵻,流開三平尤曉,許尤
1011,zjuw,囚泅汓苬鮂慒,流開三平尤邪,似尤
1012,drjuw,儔檮躊幬𢃖裯𠷎疇紬綢稠燽薵鯈籌𪆇𪇘棸椆怞𦡴懤鮋䬞菗𨞪𢤉,流開三平尤澄,直由
1013,trjuw,輈盩啁譸侜𩢸調咮𧻖𥎻矪,流開三平尤知,張流
1014,gjuw,求𧚍裘仇叴厹𡨃頄蛷𧒔逑球璆艽鼽莍䣇賕殏梂朹㭝俅脙𦜵馗䊵絿䜪扏銶𩒮𥭑毬䟵犰𧻱訅釚捄肍𢛃𦬖訄,流開三平尤群,巨鳩
1015,bjuw,浮哹桴枹𥰛罦䍖琈粰䳕罘䱐涪芣蜉烰鉜𡦄𢀼艀棓掊䍌䨗,流開三平尤並,縛謀
1016,mjuw,謀䱕雺眸牟侔矛𢦵鍪鞪麰𦭷堥劺𨡭蝥蟊鷚𩭾䋷恈鴾蛑繆,流開三平尤明,莫浮
1017,huw,侯矦𥎦帿鄇䫛鍭銗猴糇翭翵餱喉篌鯸㮢𧮶瘊䗔葔骺睺䙈,流開一平侯匣,戸鉤
1018,'uw,謳嘔歐甌區漚鷗䁱瞘櫙蓲醧剾䙔鏂膒,流開一平侯影,烏侯
1019,nuw,羺獳䰰䨲,流開一平侯泥,奴鉤
1020,luw,樓婁䣚𨻻𧁾蔞𠞭䝏𦎹僂艛耬髏膢𤬏廔剅摟嘍瞜螻簍鞻慺鷜䱾褸遱謱,流開一平侯來,落侯
1021,suw,涑鏉䩳𩌱𩮶摗𠘂𡠼,流開一平侯心,速侯
1022,khuw,彄摳剾韝𢂁滱夠䁱芤瞘,流開一平侯溪,恪侯
1023,xuw,齁𪅺,流開一平侯曉,呼侯
1024,tsuw,𣠏緅陬掫棷,流開一平侯精,子侯
1025,thuw,偷鍮媮鋀,流開一平侯透,託侯
1026,duw,頭㓱投𪎨骰𣪌坄牏䤅㢏揄窬緰歈𪁞亠,流開一平侯定,度侯
1027,nguw,齵,流開一平侯疑,五婁
1028,kuw,鉤𠛎溝褠韝緱篝𥴴𪓟㗕𤫱䑦冓枸句軥夠鴝彀鞲勾,流開一平侯見,古侯
1029,tuw,兜兠侸吺篼𥆖剅𧢗𧯠郖𩮷,流開一平侯端,當侯
1030,dzuw,㔌鯫,流開一平侯從,徂鉤
1031,buw,裒䯽捊抔掊䏽𩚭䍌箁,流開一平侯並,薄侯
1032,tshuw,䜅,流開一平侯清,千侯
1033,muw,呣,流開一平侯明,亡侯
1034,'jiw,幽泑呦𣢜𧍘怮𢆶,流開三平幽影,於虯
1035,gjiw,虯觩璆觓鷚蟉𤙠,流開三平幽群,渠幽
1036,pjiw,彪髟驫,流開三平幽幫,甫烋
1037,ljiw,鏐蟉,流開三平幽來,力幽
1038,kjiw,樛𠃚𦭺朻㽱,流開三平幽見,居虯
1039,bjiw,淲瀌𩖛,流開三平幽並,皮彪
1040,tsjiw,稵,流開三平幽精,子幽
1041,srjiw,犙,流開三平幽生,山幽
1042,ngjiw,聱,流開三平幽疑,語虯
1043,xjiw,飍烋,流開三平幽曉,香幽
1044,mjiw,繆鷚䋷,流開三平幽明,武彪
1045,tshim,侵𢔀駸浸䜷𥍯綅,深開三平侵清,七林
1046,zim,尋𢒫鐔潯鱏樳鄩𨼔𦠅𩖣襑枔撏灊鬵𦅀,深開三平侵邪,徐林
1047,lim,林琳淋臨痳箖瀶霖,深開三平侵來,力尋
1048,trhim,琛棽綝郴䑣𥉨賝,深開三平侵徹,丑林
1049,tsyim,斟針鍼𪈁箴葴瑊鱵㘰,深開三平侵章,職深
1050,drim,沈沉𤘣莐䒞霃湛枕鈂,深開三平侵澄,直深
1051,trim,碪砧椹枮坫,深開三平侵知,知林
1052,dzyim,諶愖訦忱煁瘎㽸,深開三平侵常,氏任
1053,nyim,任鵀恁壬紝銋䛘,深開三平侵日,如林
1054,syim,深𦸂,深開三平侵書,式針
1055,yim,淫霪婬𥮍蟫鷣䒞冘𢓕碪撢𨟏㸒鐔鱏,深開三平侵以,餘針
1056,sim,心𦁍𨊳杺,深開三平侵心,息林
1057,'jim,愔韾,深開三平侵影,挹淫
1058,tsim,祲梫兓埐𩀿𪖼綅𥍯𩻛,深開三平侵精,子心
1059,dzim,𩷒䰼鬵嶜梣埐𣜣鈂灊䤁岑,深開三平侵從,昨淫
1060,nrim,䛘䋻紝鵀,深開三平侵娘,女心
1061,gim,琴㩒捦擒黔禽芩𨙽檎㕋鵭䔷澿凜庈雂㪁㱽黚䅾耹靲,深開三平侵群,巨金
1062,khim,欽菳衾嶔顉,深開三平侵溪,去金
1063,ngim,吟訡䪩唫崟荶碞𩂢乑𠪚,深開三平侵疑,魚金
1064,xim,歆廞鑫嬜㽎,深開三平侵曉,許金
1065,kim,金今黅衿襟䘳禁㦗𪑙,深開三平侵見,居吟
1066,'im,音陰瘖霠喑隌䜾䤃,深開三平侵影,於金
1067,srim,森參蔘曑薓槮襳𥥿穼棽,深開三平侵生,所今
1068,dzrim,岑涔㞥梣𣠟𩅨𩻛䅾笒,深開三平侵崇,鋤針
1069,tsrim,旡簪㻸撍,深開三平侵莊,側吟
1070,tsrhim,嵾參梫𥤇駸槮,深開三平侵初,楚簪
1071,tsyhim,𧡪,深開三平侵昌,充針
1072,dom,覃𨝸潭曇藫橝蟫譚𧽼燂壜鐔眈㽎𦗡𩡝𧂗蕁䊤㽑,咸開一平覃定,徒含
1073,tshom,參驂䟃傪㜗,咸開一平覃清,倉含
1074,nom,南男柟楠抩䶲𤱣,咸開一平覃泥,那含
1075,'om,諳䳺鵪媕庵腤菴㞄馣嬜韽盦喑,咸開一平覃影,烏含
1076,hom,含涵䈄筨梒䤴函顄蜬頷𣹢鋡𤭙𠥴䶃圅肣䨡𢎘𠗴晗,咸開一平覃匣,胡男
1077,lom,婪惏燷嵐葻啉,咸開一平覃來,盧含
1078,dzom,蠶撏䣟𨅔,咸開一平覃從,昨含
1079,tsom,簪撍篸𥸢䐶䍼鐕,咸開一平覃精,作含
1080,thom,探撢貪欿㵅僋,咸開一平覃透,他含
1081,tom,耽湛眈酖妉甔媅𧡪𡖓,咸開一平覃端,丁含
1082,khom,堪龕𢦟𩑟戡𤯌嵁𤬪撖㪁,咸開一平覃溪,口含
1083,xom,㟏𩈣馠𣢺唅𡬖𡪶谽,咸開一平覃曉,火含
1084,som,毿蔘犙,咸開一平覃心,蘇含
1085,kom,弇淦䶃䌠蜬,咸開一平覃見,古南
1086,ngom,䜙嵁𡪁,咸開一平覃疑,五含
1087,dam,談郯惔錟淡痰澹倓餤𥰨㶣,咸開一平談定,徒甘
1088,kam,甘柑䇞苷泔𤯎媣疳,咸開一平談見,古三
1089,tam,擔儋聸頕甔,咸開一平談端,都甘
1090,sam,三參叁弎𢁘鬖,咸開一平談心,蘇甘
1091,lam,藍襤䰐㩜籃𩈵𪇖懢䆾儖蘫,咸開一平談來,魯甘
1092,kham,坩,咸開一平談溪,苦甘
1093,tham,舑聃𨈭緂㘱坍䔜䆱㴂𦸁,咸開一平談透,他酣
1094,dzam,慙慚鏨䳻㨻,咸開一平談從,昨甘
1095,ham,酣甝䗣魽𤯎煔炶邯,咸開一平談匣,胡甘
1096,mam,姏,咸開一平談明,武酣
1097,dzam,𩈻,咸開一平談從,昨三
1098,xam,蚶𧵊嬜歛憨,咸開一平談曉,呼談
1099,yem,鹽𣡶塩閻閆壛阽檐簷櫩𣡞㶄𪂈䦲㿕𤅸,咸開三平鹽以,余廉
1100,ljem,廉鐮鎌𩄡㡘簾薕薟蘞匳奩籨𥖝獫蠊䆂𨎷𣀃帘鬑覝臁襝,咸開三平鹽來,力鹽
1101,pjem,砭𥑁,咸開三平鹽幫,府廉
1102,sjem,銛暹枮綅𦃌韱襳纖憸孅䯹彡𢘁,咸開三平鹽心,息廉
1103,tshjem,籤臉䑎鹼槧憸僉𠠃㡨譣簽,咸開三平鹽清,七廉
1104,tsyem,詹瞻占蟾噡厃,咸開三平鹽章,職廉
1105,dzyem,棎蟾撏,咸開三平鹽常,視占
1106,syem,苫痁𡝫,咸開三平鹽書,失廉
1107,tsyhem,䪜㚲幨襜裧𤎥㾆緂妗𢛈𢃔,咸開三平鹽昌,處占
1108,nyem,𩓾髯蚺呥柟𧦦蛅冉袡䶲㾆舑冄,咸開三平鹽日,汝鹽
1109,nrjem,黏粘䬯,咸開三平鹽娘,女廉
1110,hjem,炎,咸開三平鹽云,于廉
1111,trjem,霑沾𪏉,咸開三平鹽知,張廉
1112,trhjem,覘𡝫,咸開三平鹽徹,丑廉
1113,'jem,淹菴崦醃䣍閹,咸開三平鹽影,央炎
1114,khjem,𢜩𨦄,咸開三平鹽溪,丘廉
1115,ngjem,𪙊,咸開三平鹽疑,語廉
1116,tsjem,尖殲瀸㡨𡄑漸虃熸䇝𩅼鑯鋟𩃔,咸開三平鹽精,子廉
1117,dzjem,潛朁鬵𥮒灊䁮燂𤎢螹,咸開三平鹽從,昨鹽
1118,gjem,箝鉗𢁮鉆黚拑黔羬鳹雂鍼鈐,咸開三平鹽群,巨淹
1119,'jiem,懕猒饜嬮㤿䅧𨣻,咸開三平鹽影,一鹽
1120,zjem,燅𤍙燖爓𦢨䕭𢸧㰊𢅮,咸開三平鹽邪,徐鹽
1121,srjem,襳,咸開三平鹽生,史炎
1122,drjem,㶣𪏂誗,咸開三平鹽澄,直炎
1123,gjiem,鍼,咸開三平鹽群,巨鹽
1124,them,添沾黇舚,咸開四平添透,他兼
1125,tem,𩬑詀㤴𧚊𦕒䀡敁掂佔,咸開四平添端,丁兼
1126,dem,甜恬湉菾𦳇,咸開四平添定,徒兼
1127,lem,鬑薕熑溓濓濂燫,咸開四平添來,勒兼
1128,khem,謙䌠,咸開四平添溪,苦兼
1129,kem,兼縑鶼鰜蒹𥻧𦋰,咸開四平添見,古甜
1130,hem,嫌稴,咸開四平添匣,戸兼
1131,nem,鮎鯰䬯拈,咸開四平添泥,奴兼
1132,xem,馦㾾㽐䵌欦妗䌠,咸開四平添曉,許兼
1133,heam,咸鹹醎函𩤥諴鰜稴椷㮀輱,咸開二平咸匣,胡讒
1134,keam,緘䌠瑊玪尲尷黬𪒹,咸開二平咸見,古咸
1135,sream,攕摻檆杉櫼𩃔𩁺䀐𨏪𩌰㺑,咸開二平咸生,所咸
1136,'eam,𤟟淊黯,咸開二平咸影,乙咸
1137,ngeam,嵒䫡黬羬𧇱麙𪙊碞㺂𧬌,咸開二平咸疑,五咸
1138,xeam,㰹𧍧妗𧮰䩂,咸開二平咸曉,許咸
1139,tream,詀䩇鵮𪉜,咸開二平咸知,竹咸
1140,nream,諵喃,咸開二平咸娘,女咸
1141,dzream,讒獑鏨饞毚㺥𪗂欃攙𪖎𢽝儳酁,咸開二平咸崇,士咸
1142,kheam,鵮𢽣嵁厱𠔺,咸開二平咸溪,苦咸
1143,haem,銜甉,咸開二平銜匣,戸監
1144,dzraem,巉嶃酁艬鑱獑毚嚵,咸開二平銜崇,鋤銜
1145,ngaem,巖岩礹𡆑,咸開二平銜疑,五銜
1146,tsrhaem,攙,咸開二平銜初,楚銜
1147,sraem,衫纔髟縿彡芟穇𩌰,咸開二平銜生,所銜
1148,kaem,監礛鑑𥌈,咸開二平銜見,谷銜
1149,baem,𨂝,咸開二平銜並,白銜
1150,khaem,嵌,咸開二平銜溪,口銜
1151,ngjaem,嚴䉷,咸開三平嚴疑,語𩏩
1152,xjaem,𩏩杴㿌𥟕蘞,咸開三平嚴曉,虚嚴
1153,'jaem,醃腌,咸開三平嚴影,於嚴
1154,khjaem,㪁厱,咸開三平嚴溪,丘嚴
1155,bjom,凡帆𠆩𦨲氾颿柉,咸合三平凡並,符咸
1156,phjom,䒦范,咸合三平凡滂,匹凡
1157,tuwngX,懂董蝀箽蕫䵔𧄓,通開一上東端,多動
1158,muwngX,蠓𤾬鸏濛朦曚懵,通開一上東明,莫孔
1159,khuwngX,孔倥,通開一上東溪,康董
1160,suwngX,㪌䉥𣞷,通開一上東心,先孔
1161,thuwngX,侗桶曈捅,通開一上東透,他孔
1162,tsuwngX,總緫揔摠𢝰蓯㢔𩮀蓯𩱛猣翪䁓㷓𢉛𨍈偬,通開一上東精,作孔
1163,huwngX,澒鴻𧋔𠳃汞,通開一上東匣,胡孔
1164,'uwngX,蓊滃暡郺勜䈵䐥塕𤌏嗡,通開一上東影,烏孔
1165,nuwngX,𨑊,通開一上東泥,奴動
1166,puwngX,琫菶𦂌俸,通開一上東幫,邊孔
1167,luwngX,曨襱巃竉籠攏𢤱儱龓,通開一上東來,力董
1168,xuwngX,嗊𢦅,通開一上東曉,呼孔
1169,duwngX,動𨔝酮姛眮詷桶挏硐,通開一上東定,徒揔
1170,buwngX,菶唪埲,通開一上東並,蒲蠓
1171,tsyowngX,腫種踵歱㣫喠,通開三上鍾章,之隴
1172,trhjowngX,寵𧼙埫,通開三上鍾徹,丑隴
1173,ljowngX,隴壠壟㙙,通開三上鍾來,力踵
1174,'jowngX,擁𢶜壅臃,通開三上鍾影,於隴
1175,nyowngX,宂冗穁䢇𣭲氄軵𤘺𪕎𢫨𨍷搑𡊫,通開三上鍾日,而隴
1176,drjowngX,重𢝆襱鮦,通開三上鍾澄,直隴
1177,trjowngX,冢塚,通開三上鍾知,知隴
1178,bjowngX,奉唪,通開三上鍾並,扶隴
1179,phjowngX,捧,通開三上鍾滂,敷奉
1180,yowngX,勇恿涌湧甬踊踴慂𧻹塎悀埇溶蛹傛𧗴俑,通開三上鍾以,余隴
1181,khjowngX,恐𢖶𦶐,通開三上鍾溪,丘隴
1182,dzyowngX,尰瘇𢡹,通開三上鍾常,時宂
1183,kjowngX,拱拲䂬鞏蛬孓珙廾𢪒㤨𢸁㼦㧬䡗䱋栱輁巩,通開三上鍾見,居悚
1184,sjowngX,悚竦慫聳傱𦄼㩳駷愯䙕,通開三上鍾心,息拱
1185,xjowngX,洶詾兇,通開三上鍾曉,許拱
1186,pjowngX,覂𢇫,通開三上鍾幫,方勇
1187,towngX,湩,通開一上冬端,都𪁪
1188,mowngX,𪁪䏵,通開一上冬明,莫湩
1189,gjowngX,䅃,通開三上鍾群,渠隴
1190,tsyhowngX,𨿿喠,通開三上鍾昌,充隴
1191,tsyowngX,𢃭𢃓,通開三上鍾章,職勇
1192,tsjowngX,䙕,通開三上鍾精,子冢
1193,kaewngX,講港傋耩,江開二上江見,古項
1194,baewngX,㭋棒棓玤蚌蜯𢗒䎧,江開二上江並,步項
1195,'aewngX,慃,江開二上江影,烏項
1196,maewngX,𠈵,江開二上江明,武項
1197,haewngX,項缿,江開二上江匣,胡講
1198,paewngX,𦂌綁,江開二上江幫,巴講
1199,xaewngX,傋𢞡,江開二上江曉,虚慃
